date,weekday,state_fips,state_name,state_code,covid,submetric,metric,n_grade,grade,last_updated
2020-03-27,6,05,Arkansas,AR,POST,total,-0.3877495030206195,1.5,D-,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,05,Arkansas,AR,POST,travel distance,-0.27562843765760692,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,04,Arizona,AZ,POST,visitations,-0.58682243940908518,2,D,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,04,Arizona,AZ,POST,total,-0.47386430291951431,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,04,Arizona,AZ,POST,travel distance,-0.36090616642994344,2,D,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,06,California,CA,POST,visitations,-0.6439840994441014,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,06,California,CA,POST,total,-0.532735858400677,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,06,California,CA,POST,travel distance,-0.42148761735725265,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,08,Colorado,CO,POST,visitations,-0.70065634024493317,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,08,Colorado,CO,POST,total,-0.59904022201335039,4,B,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,08,Colorado,CO,POST,travel distance,-0.49742410378176755,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,09,Connecticut,CT,POST,visitations,-0.60869726389667633,3,C,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,09,Connecticut,CT,POST,total,-0.52515732841789953,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,09,Connecticut,CT,POST,travel distance,-0.44161739293912267,3,C,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,11,District of Columbia,DC,POST,visitations,-0.72262549617316174,5,A,2020-04-01 16:30:12.877678 UTC
2020-03-27,6,11,District of Columbia,DC,POST,travel distance,-0.63581547075551714,4,B,2020-03-31 15:21:02.613002 UTC
2020-03-27,6,11,District of Columbia,DC,POST,total,-0.67922048346433939,4.5,A-,2020-03-31 15:21:02.613002 UTC
